State_UT,District,Households_Surveyed,Women_Interviewed_15_49yrs,Men_Interviewed_15_54yrs,Sex_Ratio_per_1000_males,Children_Under5_Stunted_pct,Children_Under5_Wasted_pct,Children_Under5_Underweight_pct,Children_Under5_Overweight_pct,Anaemia_Children_6_59months_pct,Anaemia_Women_15_49yrs_pct,Anaemia_Men_15_49yrs_pct,Institutional_Births_pct,Skilled_Birth_Attendant_pct,Full_Immunisation_12_23months_pct,Contraceptive_Prevalence_Rate_pct,Unmet_Need_Family_Planning_pct,Total_Fertility_Rate,Women_BMI_Below_Normal_pct,Men_BMI_Below_Normal_pct,Women_Hypertension_pct,Men_Hypertension_pct,Women_Diabetes_pct,Men_Diabetes_pct,Households_Improved_Drinking_Water_pct,Households_Improved_Sanitation_pct,Households_Electricity_pct,Women_Secondary_Education_pct,Child_Marriage_Women_pct
Andhra Pradesh,Anantapur,33142,31827,13892,991,31.1,16.3,30.1,2.9,67.2,60.1,23.4,90.2,91.5,73.4,64.3,9.1,1.7,20.1,17.5,22.3,21.1,8.2,10.1,91.2,85.6,99.3,52.4,29.8
Andhra Pradesh,Chittoor,31245,29450,12870,993,28.4,13.2,26.4,3.1,63.4,57.8,20.1,92.4,93.1,76.2,66.1,8.4,1.6,17.3,14.2,19.8,18.9,7.1,8.9,93.1,89.3,99.6,58.3,24.1
Andhra Pradesh,East Godavari,36824,35102,15234,1002,24.6,10.1,22.3,3.6,59.1,52.3,16.8,94.8,95.3,80.1,68.9,7.2,1.5,14.8,11.2,17.6,17.1,6.8,8.2,96.3,93.2,99.8,64.2,21.3
Andhra Pradesh,Guntur,38945,37234,16012,997,26.2,12.4,24.6,3.4,61.3,55.1,18.9,93.6,94.2,78.3,67.4,7.8,1.6,16.1,13.1,18.9,18.1,7.3,8.8,94.8,91.4,99.7,61.5,22.6
Andhra Pradesh,Krishna,35623,33978,14567,999,24.1,9.8,21.8,3.8,57.9,51.2,16.2,95.1,95.8,81.4,69.3,6.9,1.4,14.2,10.8,17.1,16.8,6.5,7.9,97.1,94.3,99.9,66.8,19.8
Andhra Pradesh,Kurnool,32187,30534,13201,989,33.2,17.1,31.6,2.7,68.4,62.3,24.8,89.1,90.2,71.8,62.8,9.8,1.8,21.4,18.6,23.1,22.2,8.7,10.6,89.6,83.2,99.1,49.3,31.2
Andhra Pradesh,Nellore,33890,32145,13856,994,27.8,12.9,25.9,3.2,62.8,56.4,19.6,93.2,93.8,77.6,66.8,8.1,1.6,16.9,13.6,19.2,18.5,7.2,8.7,94.2,90.8,99.6,60.1,23.4
Andhra Pradesh,Prakasam,31456,29876,12934,990,30.4,15.2,28.7,2.8,65.8,59.2,22.6,91.3,92.1,74.9,64.8,9.3,1.7,19.3,16.4,21.6,20.8,8.1,9.8,91.8,86.7,99.4,53.6,27.9
Andhra Pradesh,Srikakulam,29234,27812,12045,997,34.8,18.4,33.1,2.5,69.8,63.4,25.9,87.6,88.9,69.6,61.4,10.4,1.9,22.6,19.8,24.3,23.4,9.2,11.2,87.9,81.4,98.8,46.8,33.6
Andhra Pradesh,Visakhapatnam,38234,36456,15789,1001,26.8,11.8,24.8,3.5,60.4,53.6,17.8,94.2,94.9,79.4,68.1,7.5,1.5,15.4,12.1,18.2,17.6,7.0,8.5,96.1,92.6,99.8,63.2,21.8
Andhra Pradesh,Vizianagaram,28934,27523,11932,993,35.6,19.1,34.2,2.4,70.6,64.2,26.4,86.8,88.1,68.8,60.8,10.8,1.9,23.1,20.4,24.8,23.9,9.5,11.6,86.8,80.1,98.6,44.9,35.1
Andhra Pradesh,West Godavari,35124,33423,14512,1003,23.8,9.4,21.2,3.9,56.8,50.4,15.8,95.6,96.1,82.3,70.1,6.6,1.4,13.8,10.4,16.8,16.4,6.2,7.6,97.6,95.1,99.9,67.9,19.2
Assam,Baksa,18234,21345,8234,966,37.2,18.6,35.4,2.1,72.4,68.3,28.4,78.4,80.1,69.8,57.2,14.2,2.4,26.8,22.1,18.4,19.2,6.2,8.1,72.3,68.4,87.6,38.4,39.8
Assam,Barpeta,21345,24567,9456,974,39.1,20.2,37.6,1.9,74.8,70.2,30.1,76.2,78.4,67.4,55.1,15.6,2.6,28.4,24.2,19.6,20.4,6.8,8.9,69.8,65.2,84.9,34.8,43.2
Assam,Biswanath,16234,18923,7345,969,36.4,17.8,34.6,2.2,71.6,67.4,27.6,79.2,81.2,70.6,58.1,13.8,2.3,26.1,21.4,17.9,18.7,6.0,7.8,73.6,69.8,88.4,39.8,38.4
Assam,Bongaigaon,19456,22678,8756,971,38.3,19.4,36.8,2.0,73.6,69.1,29.2,77.3,79.2,68.6,56.1,14.9,2.5,27.6,23.1,19.0,19.8,6.5,8.4,71.1,66.8,86.2,36.6,41.5
Assam,Cachar,22345,25789,9923,978,35.1,16.9,33.2,2.4,70.2,66.1,26.4,81.4,83.1,72.3,59.4,13.1,2.2,25.2,20.6,17.1,18.1,5.8,7.4,75.8,72.1,90.2,42.1,36.8
Assam,Charaideo,14523,17012,6589,967,37.8,19.0,36.1,2.1,72.9,68.8,28.9,78.8,80.6,70.2,57.6,14.5,2.4,27.2,22.6,18.6,19.5,6.4,8.2,72.9,68.9,88.0,39.0,39.1
Assam,Chirang,17234,20123,7789,963,40.2,21.1,38.9,1.8,76.1,71.6,31.4,74.6,76.8,65.8,53.8,16.3,2.7,29.6,25.4,20.8,21.6,7.4,9.6,67.4,62.8,82.6,32.1,45.8
Assam,Darrang,20234,23456,9056,970,39.6,20.6,38.1,1.9,75.2,70.9,30.7,75.4,77.6,66.6,54.4,15.9,2.6,28.9,24.7,20.2,21.0,7.1,9.2,70.4,66.1,85.6,35.7,42.4
Assam,Dhemaji,15623,18234,7056,965,38.9,20.1,37.4,2.0,74.4,70.0,30.0,76.6,78.8,67.9,56.4,15.2,2.5,28.3,23.9,19.8,20.6,6.9,8.9,71.8,67.5,87.1,37.8,40.7
Bihar,Araria,25234,29456,10234,943,48.3,24.9,47.2,1.1,80.4,74.3,34.8,63.2,65.8,58.9,47.4,20.1,3.2,34.8,30.2,14.8,16.2,4.8,6.8,58.2,51.4,72.8,22.4,56.2
Bihar,Arwal,18234,21345,7423,947,46.8,23.4,45.6,1.2,79.2,72.8,33.2,65.4,68.1,61.2,49.2,18.9,3.0,33.4,28.8,15.6,17.1,5.2,7.2,60.8,54.2,75.6,24.8,53.4
Bihar,Aurangabad,21456,24678,8612,945,47.6,24.1,46.4,1.1,80.1,73.6,34.1,64.3,66.9,60.1,48.3,19.5,3.1,34.1,29.5,15.2,16.7,5.0,7.0,59.5,52.8,74.2,23.6,54.8
Bihar,Banka,19876,23123,8034,948,47.2,23.8,46.0,1.2,79.8,73.2,33.7,64.8,67.5,60.6,48.8,19.2,3.1,33.8,29.2,15.4,16.9,5.1,7.1,60.1,53.5,74.9,24.2,54.1
Bihar,Begusarai,23456,27234,9456,950,45.9,22.6,44.7,1.3,78.6,72.1,32.4,66.7,69.4,62.4,50.1,18.2,2.9,32.6,28.1,16.1,17.6,5.4,7.5,62.4,55.9,77.1,26.1,51.8
Bihar,Bhagalpur,24567,28456,9867,952,46.4,23.2,45.2,1.2,79.1,72.6,33.0,65.9,68.6,61.7,49.5,18.8,3.0,33.2,28.6,15.8,17.3,5.2,7.3,61.3,54.7,76.0,25.4,52.7
Bihar,Bhojpur,22345,25978,9023,946,47.0,23.7,45.8,1.2,79.5,73.0,33.5,65.1,67.8,60.9,48.6,19.1,3.1,33.5,29.0,15.5,17.0,5.1,7.1,60.4,53.8,75.3,24.6,53.6
Bihar,Buxar,20678,24012,8345,944,47.8,24.3,46.6,1.1,80.2,73.7,34.3,64.1,66.7,59.8,48.0,19.6,3.1,34.2,29.6,15.1,16.6,4.9,6.9,59.3,52.6,74.0,23.4,55.1
Delhi,Central Delhi,24567,23456,10234,879,23.4,8.4,20.4,5.2,53.8,42.3,14.8,98.6,99.1,93.4,64.8,7.8,1.5,14.8,11.2,32.8,28.6,12.3,13.8,99.1,98.6,100.0,72.4,10.2
Delhi,East Delhi,32456,31234,13567,882,24.1,9.1,21.2,4.8,55.2,43.8,15.6,98.2,98.7,92.8,64.2,8.1,1.5,15.4,11.8,33.4,29.2,12.8,14.3,98.8,98.1,100.0,71.6,11.4
Delhi,New Delhi,18234,17234,7456,876,21.8,7.6,18.9,5.6,51.6,40.2,13.4,99.2,99.6,95.1,65.6,7.2,1.4,13.6,10.2,31.6,27.6,11.6,13.1,99.6,99.2,100.0,74.8,8.4
Delhi,North Delhi,28345,27234,11823,880,23.8,8.9,21.1,5.0,54.4,43.1,15.2,98.4,98.9,93.1,64.5,8.0,1.5,15.1,11.5,33.1,28.9,12.6,14.1,99.0,98.4,100.0,72.0,10.8
